accountsPayable,capitalSurplus,commonStock,currency,currentAssets,currentCash,currentLongTermDebt,filingType,fiscalDate,fiscalQuarter,fiscalYear,goodwill,intangibleAssets,inventory,longTermDebt,longTermInvestments,minorityInterest,netTangibleAssets,otherAssets,otherCurrentAssets,otherCurrentLiabilities,otherLiabilities,propertyPlantEquipment,receivables,reportDate,retainedEarnings,shareholderEquity,shortTermInvestments,symbol,totalAssets,totalCurrentLiabilities,totalLiabilities,treasuryStock
29601000000,,256000000,USD,33497000000,3990000000,26000000,10-Q,2023-03-31,3,2023,0,6567000000,16620000000,4708000000,9880000000,2000000,-8787000000,951000000,1895000000,2876000000,8384000000,2362000000,10992000000,2023-05-04,-342000000,-2220000000,1895000000,CAH,43377000000,32503000000,45597000000,-4554000000
30083000000,,261000000,USD,34596000000,3654000000,577000000,10-Q,2022-12-31,2,2023,0,6618000000,17263000000,4685000000,9886000000,1000000,-8831000000,927000000,2258000000,2552000000,8797000000,2341000000,11421000000,2023-02-02,-560000000,-2213000000,2258000000,CAH,44482000000,33212000000,46695000000,-4254000000
28362000000,,271000000,USD,32696000000,3492000000,578000000,10-Q,2022-09-30,1,2023,0,7367000000,15891000000,4689000000,10691000000,1000000,-9148000000,985000000,2274000000,2619000000,8919000000,2339000000,11039000000,2022-11-04,-301000000,-1781000000,2274000000,CAH,43387000000,31559000000,45168000000,-3880000000
27128000000,,275000000,USD,32935000000,4717000000,580000000,10-K,2022-06-30,4,2022,0,7629000000,15636000000,4735000000,10943000000,3000000,-8338000000,953000000,2021000000,2842000000,9299000000,2361000000,10561000000,2022-08-11,-280000000,-709000000,2021000000,CAH,43878000000,30550000000,44587000000,-3128000000
24821000000,,275000000,USD,30884000000,2356000000,861000000,10-Q,2022-03-31,3,2022,0,8022000000,15493000000,4751000000,11227000000,4000000,-8719000000,907000000,2785000000,3033000000,9338000000,2298000000,10250000000,2022-05-05,-281000000,-697000000,2785000000,CAH,42111000000,28715000000,42808000000,-3100000000
24759000000,,279000000,USD,31847000000,3161000000,301000000,10-Q,2021-12-31,2,2022,0,8599000000,14941000000,5342000000,11833000000,4000000,-7601000000,913000000,4339000000,2669000000,9607000000,2321000000,9406000000,2022-02-03,1245000000,998000000,4339000000,CAH,43680000000,27729000000,42682000000,-2883000000
23408000000,,287000000,USD,29731000000,2463000000,301000000,10-Q,2021-09-30,1,2022,0,10005000000,14720000000,5353000000,13262000000,3000000,-8612000000,921000000,3243000000,2790000000,9745000000,2336000000,9305000000,2021-11-09,1335000000,1393000000,3243000000,CAH,42993000000,26499000000,41600000000,-2547000000
23700000000,,289000000,USD,31048000000,3407000000,871000000,10-K,2021-06-30,4,2021,0,10094000000,14594000000,5365000000,13405000000,3000000,-8303000000,951000000,2843000000,3053000000,9670000000,2360000000,9103000000,2021-08-16,1205000000,1791000000,2843000000,CAH,44453000000,27624000000,42662000000,-2186000000
22641000000,,292000000,USD,30362000000,3499000000,16000000,10-Q,2021-03-31,3,2021,0,10179000000,14329000000,6715000000,13512000000,4000000,-8389000000,1018000000,2715000000,2666000000,10042000000,2315000000,8727000000,2021-05-06,1233000000,1790000000,2715000000,CAH,43874000000,25323000000,42084000000,-2202000000
23235000000,,294000000,USD,30113000000,3737000000,13000000,10-Q,2020-12-31,2,2021,0,11102000000,14443000000,6720000000,14606000000,4000000,-9131000000,1118000000,3205000000,2502000000,10274000000,2386000000,8728000000,2021-02-05,1255000000,1971000000,3205000000,CAH,44719000000,25750000000,42748000000,-2009000000
21688000000,,293000000,USD,27030000000,2746000000,12000000,10-Q,2020-09-30,1,2021,0,11186000000,13439000000,6728000000,14697000000,3000000,-9764000000,1142000000,2208000000,2316000000,9558000000,2369000000,8637000000,2020-11-05,771000000,1422000000,2208000000,CAH,41727000000,24016000000,40305000000,-2022000000
21374000000,,292000000,USD,25940000000,2771000000,10000000,10-K,2020-06-30,4,2020,0,11275000000,13198000000,6765000000,14826000000,3000000,-9486000000,1185000000,1707000000,2231000000,8594000000,2366000000,8264000000,2020-08-13,1170000000,1789000000,1707000000,CAH,40766000000,23615000000,38977000000,-2066000000
21984000000,,292000000,USD,25848000000,2329000000,508000000,10-Q,2020-03-31,3,2020,0,11378000000,12808000000,6754000000,15300000000,3000000,-10175000000,1623000000,1692000000,2179000000,8517000000,2299000000,9019000000,2020-05-11,656000000,1203000000,1692000000,CAH,41148000000,24671000000,39945000000,-2086000000
21459000000,,292000000,USD,25736000000,1659000000,1192000000,10-Q,2019-12-31,2,2020,0,11523000000,13799000000,6742000000,15306000000,3000000,-10524000000,1482000000,1998000000,2239000000,8408000000,2301000000,8280000000,2020-02-06,449000000,999000000,1998000000,CAH,41042000000,24890000000,40043000000,-2099000000
19724000000,,296000000,USD,23715000000,1212000000,631000000,10-Q,2019-09-30,1,2020,0,11658000000,12458000000,7360000000,15464000000,3000000,-10758000000,1482000000,1855000000,2194000000,8367000000,2324000000,8190000000,2019-11-07,371000000,900000000,1855000000,CAH,39179000000,22549000000,38279000000,-2039000000
21535000000,,298000000,USD,25747000000,2531000000,452000000,10-K,2019-06-30,4,2019,0,11808000000,12822000000,7579000000,15216000000,2000000,-5480000000,1052000000,1946000000,2122000000,2945000000,2356000000,8448000000,2019-08-20,5434000000,6328000000,1946000000,CAH,40963000000,24109000000,34635000000,-1790000000
20517000000,,298000000,USD,25582000000,3438000000,1451000000,10-Q,2019-03-31,3,2019,0,11860000000,12622000000,7629000000,15227000000,2000000,-5630000000,1045000000,1643000000,1951000000,3029000000,2322000000,7879000000,2019-05-09,5386000000,6230000000,1643000000,CAH,40809000000,23919000000,34579000000,-1793000000
