capitalExpenditures,cashChange,cashFlow,cashFlowFinancing,changesInInventories,changesInReceivables,currency,depreciation,dividendsPaid,exchangeRateEffect,filingType,fiscalDate,fiscalQuarter,fiscalYear,investingActivityOther,investments,netBorrowings,netIncome,otherFinancingCashFlows,reportDate,symbol,totalInvestingCashFlows
-91000000,1569000000,2220000000,-534000000,0,232000000,USD,319000000,,,10-K,2022-12-31,0,2022,,,-9654000000,1513000000,,2023-02-23,ATVI,-4994000000
-80000000,1776000000,2414000000,-521000000,0,-80000000,USD,440000000,,,10-K,2021-12-31,0,2021,,,-7976000000,2699000000,,2022-02-25,ATVI,-59000000
-78000000,2853000000,2252000000,711000000,-32000000,204000000,USD,446000000,,,10-K,2020-12-31,0,2020,,,-5908000000,2197000000,,2021-02-23,ATVI,-178000000
-116000000,1569000000,1831000000,-237000000,-11000000,-187000000,USD,553000000,,,10-K,2019-12-31,0,2019,,,-3737000000,1503000000,,2020-02-27,ATVI,-22000000
-131000000,-488000000,1790000000,-2020000000,-3000000,117000000,USD,998000000,,,10-K,2018-12-31,0,2018,,,-2357000000,1813000000,,2019-02-28,ATVI,-230000000
-155000000,1468000000,2213000000,-624000000,-3000000,186000000,USD,1199000000,,,10-K,2017-12-31,0,2017,,,-1166000000,273000000,,2018-02-27,ATVI,-197000000
-136000000,1414000000,2155000000,500000000,-79000000,53000000,USD,1150000000,,,10-K,2016-12-31,0,2016,,,838000000,962000000,,2017-02-28,ATVI,-1177000000
-111000000,-3017000000,1192000000,-135000000,5000000,20000000,USD,494000000,,,10-K,2015-12-31,0,2015,,,1499000000,881000000,,2016-02-29,ATVI,-3716000000
-107000000,417000000,1292000000,-374000000,-48000000,144000000,USD,90000000,,,10-K,2014-12-31,0,2014,,,-1425000000,817000000,,2015-02-26,ATVI,-84000000
-74000000,74000000,1264000000,-1223000000,-38000000,-192000000,USD,108000000,,,10-K,2013-12-31,0,2013,,,-529000000,987000000,,2014-03-03,ATVI,308000000
-73000000,848000000,1345000000,-497000000,65000000,58000000,USD,120000000,,,10-K,2012-12-31,0,2012,,,-4853000000,1125000000,,2013-02-22,ATVI,-124000000
-72000000,25000000,952000000,-808000000,32000000,9000000,USD,148000000,,,10-K,2011-12-31,0,2011,,,-4064000000,1069000000,,2012-02-28,ATVI,266000000
-97000000,239000000,1376000000,-1053000000,-129000000,-99000000,USD,198000000,,,10-K,2010-12-31,0,2010,,,-3969000000,414000000,,2011-02-25,ATVI,-312000000
-69000000,243000000,1183000000,-949000000,-21000000,-471000000,USD,347000000,,,10-K,2009-12-31,0,2009,,,-3851000000,113000000,,2010-03-01,ATVI,-443000000
0,3002000000,379000000,1488000000,262000000,1210000000,USD,385000000,,,10-K,2008-12-31,0,2008,,,-3487000000,-107000000,,2009-02-27,ATVI,1101000000
-37000000,12516000000,577000000,-71000000,0,764000000,USD,123000000,,,10-Q,2023-03-31,1,2023,,,-10144000000,740000000,,2023-05-04,ATVI,1663000000
-24000000,11992000000,1123000000,-61000000,0,1204000000,USD,100000000,,,10-K,2022-12-31,4,2022,,,-9654000000,403000000,,2023-02-23,ATVI,-1801000000
-15000000,10688000000,257000000,-6000000,0,658000000,USD,37000000,,,10-Q,2022-09-30,3,2022,,,-8842000000,435000000,,2022-11-07,ATVI,-2940000000
-37000000,10483000000,198000000,-370000000,0,572000000,USD,83000000,,,10-Q,2022-06-30,2,2022,,,-8326000000,280000000,,2022-08-01,ATVI,-260000000
-15000000,10967000000,642000000,-97000000,0,530000000,USD,99000000,,,10-Q,2022-03-31,1,2022,,,-8348000000,395000000,,2022-05-03,ATVI,7000000
-21000000,10423000000,661000000,12000000,0,972000000,USD,96000000,,,10-K,2021-12-31,4,2021,,,-7976000000,565000000,,2022-02-25,ATVI,42000000
-23000000,9718000000,521000000,-62000000,0,585000000,USD,96000000,,,10-Q,2021-09-30,3,2021,,,-7019000000,639000000,,2021-11-02,ATVI,-275000000
-14000000,9209000000,388000000,-376000000,0,682000000,USD,109000000,,,10-Q,2021-06-30,2,2021,,,-6599000000,876000000,,2021-08-03,ATVI,260000000
-22000000,9281000000,844000000,-95000000,0,773000000,USD,139000000,,,10-Q,2021-03-31,1,2021,,,-6543000000,619000000,,2021-05-04,ATVI,-86000000
-22000000,8647000000,1140000000,58000000,0,1052000000,USD,153000000,,,10-K,2020-12-31,4,2020,,,-5908000000,508000000,,2021-02-23,ATVI,0
-24000000,7415000000,196000000,934000000,0,619000000,USD,82000000,,,10-Q,2020-09-30,3,2020,,,-4779000000,604000000,,2020-10-29,ATVI,-90000000
-13000000,6338000000,768000000,-288000000,0,614000000,USD,72000000,,,10-Q,2020-06-30,2,2020,,,-4429000000,580000000,,2020-08-04,ATVI,-60000000
-19000000,5906000000,148000000,7000000,0,590000000,USD,139000000,,,10-Q,2020-03-31,1,2020,,,-3854000000,505000000,,2020-05-05,ATVI,-28000000
-116000000,5794000000,1831000000,-237000000,32000000,848000000,USD,553000000,,,10-K,2019-12-31,4,2019,,,-3737000000,524000000,,2020-02-27,ATVI,-22000000
0,4939000000,0,0,102000000,386000000,USD,0,,,10-Q,2019-09-30,3,2019,,,-2850000000,204000000,,2019-11-07,ATVI,0
0,4592000000,0,0,46000000,455000000,USD,0,,,10-Q,2019-06-30,2,2019,,,-2489000000,328000000,,2019-08-08,ATVI,0
0,4696000000,0,0,45000000,594000000,USD,0,,,10-Q,2019-03-31,1,2019,,,-2726000000,447000000,,2019-05-02,ATVI,0
-131000000,4225000000,1790000000,-2020000000,43000000,1035000000,USD,998000000,,,10-K,2018-12-31,4,2018,,,-2357000000,651000000,,2019-02-28,ATVI,-230000000
0,3308000000,0,0,174000000,641000000,USD,0,,,10-Q,2018-09-30,3,2018,,,-1487000000,260000000,,2018-11-08,ATVI,0
0,4857000000,0,0,36000000,418000000,USD,0,,,10-Q,2018-06-30,2,2018,,,-1286000000,402000000,,2018-08-02,ATVI,0
0,5217000000,0,0,42000000,431000000,USD,0,,,10-Q,2018-03-31,1,2018,,,-1545000000,500000000,,2018-05-03,ATVI,0
-155000000,4713000000,2213000000,-624000000,46000000,918000000,USD,1199000000,,,10-K,2017-12-31,4,2017,,,-1166000000,-584000000,,2018-02-27,ATVI,-197000000
0,3576000000,0,0,94000000,888000000,USD,0,,,10-Q,2017-09-30,3,2017,,,-16000000,188000000,,2017-11-02,ATVI,0
0,3278000000,0,0,51000000,360000000,USD,0,,,10-Q,2017-06-30,2,2017,,,446000000,243000000,,2017-08-03,ATVI,0
0,3248000000,0,0,48000000,344000000,USD,0,,,10-Q,2017-03-31,1,2017,,,429000000,426000000,,2017-05-04,ATVI,0
-136000000,3245000000,2155000000,500000000,49000000,732000000,USD,1150000000,,,10-K,2016-12-31,4,2016,,,838000000,300000000,,2017-02-28,ATVI,-1177000000
0,4029000000,0,0,131000000,446000000,USD,0,,,10-Q,2016-09-30,3,2016,,,1605000000,199000000,,2016-11-04,ATVI,0
0,2271000000,0,0,94000000,462000000,USD,0,,,10-Q,2016-06-30,2,2016,,,2169000000,127000000,,2016-08-04,ATVI,0
0,2872000000,0,0,103000000,383000000,USD,0,,,10-Q,2016-03-31,1,2016,,,2319000000,336000000,,2016-05-09,ATVI,0
-111000000,1831000000,1192000000,-135000000,128000000,679000000,USD,494000000,,,10-K,2015-12-31,4,2015,,,1499000000,159000000,,2016-02-29,ATVI,-3716000000
0,4519000000,0,0,238000000,503000000,USD,0,,,10-Q,2015-09-30,3,2015,,,-1117000000,125000000,,2015-11-06,ATVI,0
0,4521000000,0,0,117000000,201000000,USD,0,,,10-Q,2015-06-30,2,2015,,,-1310000000,210000000,,2015-08-04,ATVI,0
0,4470000000,0,0,102000000,208000000,USD,0,,,10-Q,2015-03-31,1,2015,,,-1113000000,387000000,,2015-05-06,ATVI,0
-107000000,4848000000,1292000000,-374000000,123000000,659000000,USD,90000000,,,10-K,2014-12-31,4,2014,,,-1425000000,355000000,,2015-02-26,ATVI,-84000000
0,3828000000,0,0,222000000,689000000,USD,0,,,10-Q,2014-09-30,3,2014,,,-330000000,-23000000,,2014-11-04,ATVI,0
0,4204000000,0,0,151000000,107000000,USD,0,,,10-Q,2014-06-30,2,2014,,,-536000000,200000000,,2014-08-05,ATVI,0
0,4287000000,0,0,158000000,219000000,USD,0,,,10-Q,2014-03-31,1,2014,,,-661000000,285000000,,2014-05-06,ATVI,0
-74000000,4431000000,1264000000,-1223000000,171000000,515000000,USD,108000000,,,10-K,2013-12-31,4,2013,,,-529000000,168000000,,2014-03-03,ATVI,308000000
0,6821000000,0,0,313000000,205000000,USD,0,,,10-Q,2013-09-30,3,2013,,,-5181000000,55000000,,2013-11-06,ATVI,0
0,4546000000,0,0,131000000,117000000,USD,0,,,10-Q,2013-06-30,2,2013,,,-5046000000,318000000,,2013-08-01,ATVI,0
0,4618000000,0,0,159000000,237000000,USD,0,,,10-Q,2013-03-31,1,2013,,,-4998000000,446000000,,2013-05-08,ATVI,0
