costOfRevenue,currency,ebit,filingType,fiscalDate,fiscalQuarter,fiscalYear,grossProfit,incomeTax,interestIncome,minorityInterest,netIncome,netIncomeBasic,operatingExpense,operatingIncome,otherIncomeExpenseNet,pretaxIncome,reportDate,researchAndDevelopment,sellingGeneralAndAdmin,symbol,totalRevenue
11618000000,USD,5577000000,10-K,2023-01-29,0,2023,15356000000,-187000000,-5000000,0,4368000000,4368000000,21397000000,5577000000,0,4181000000,2023-02-24,7339000000,2440000000,NVDA,26974000000
9439000000,USD,10041000000,10-K,2022-01-30,0,2022,17475000000,189000000,207000000,0,9752000000,9752000000,16873000000,10041000000,0,9941000000,2022-03-18,5268000000,2166000000,NVDA,26914000000
6279000000,USD,4532000000,10-K,2021-01-31,0,2021,10396000000,77000000,127000000,0,4332000000,4332000000,12143000000,4532000000,0,4409000000,2021-02-26,3924000000,1940000000,NVDA,16675000000
4150000000,USD,2846000000,10-K,2020-01-26,0,2020,6768000000,174000000,-126000000,0,2796000000,2796000000,8072000000,2846000000,0,2970000000,2020-02-20,2829000000,1093000000,NVDA,10918000000
4545000000,USD,3804000000,10-K,2019-01-27,0,2019,7171000000,-245000000,-78000000,0,4141000000,4141000000,7912000000,3804000000,0,3896000000,2019-02-21,2376000000,991000000,NVDA,11716000000
3892000000,USD,3210000000,10-K,2018-01-28,0,2018,5822000000,149000000,-8000000,0,3047000000,3047000000,6504000000,3210000000,0,3196000000,2018-02-28,1797000000,815000000,NVDA,9714000000
2847000000,USD,1937000000,10-K,2017-01-29,0,2017,4063000000,239000000,4000000,0,1666000000,1666000000,4973000000,1937000000,0,1905000000,2017-03-01,1463000000,663000000,NVDA,6910000000
2199000000,USD,878000000,10-K,2016-01-31,0,2016,2811000000,129000000,8000000,0,614000000,614000000,4132000000,878000000,0,743000000,2016-03-17,1331000000,602000000,NVDA,5010000000
2082030000,USD,758989000,10-K,2015-01-25,0,2015,2599477000,124249000,18043000,0,630587000,630587000,3922518000,758989000,0,754836000,2015-03-12,1359725000,480763000,NVDA,4681507000
1862399000,USD,496227000,10-K,2014-01-26,0,2014,2267763000,70264000,-6676000,0,439990000,439990000,3633935000,496227000,0,510254000,2014-03-13,1335834000,435702000,NVDA,4130162000
2053816000,USD,648239000,10-K,2013-01-27,0,2013,2226343000,99503000,-16614000,0,562536000,562536000,3631920000,648239000,0,662039000,2013-03-12,1147282000,430822000,NVDA,4280159000
1941413000,USD,648299000,10-K,2012-01-29,0,2012,2056517000,82306000,-16060000,0,581090000,581090000,3349631000,648299000,0,663396000,2012-03-13,1002605000,405613000,NVDA,3997930000
2134219000,USD,198747000,10-K,2011-01-30,0,2011,1409090000,18023000,-15930000,0,253146000,253146000,3344562000,198747000,0,271169000,2011-03-16,848830000,361513000,NVDA,3543309000
2149522000,USD,-98945000,10-K,2010-01-31,0,2010,1176923000,-14307000,-19795000,0,-67987000,-67987000,3425390000,-98945000,0,-82294000,2010-03-18,908851000,367017000,NVDA,3326445000
2250590000,USD,-43832000,10-K,2009-01-25,0,2009,1174269000,-12913000,-42453000,0,-30041000,-30041000,3468691000,-43832000,0,-42954000,2009-03-13,855879000,362222000,NVDA,3424859000
2228580000,USD,836346000,10-K,2008-01-27,0,2008,1869280000,103696000,-64235000,0,797645000,797645000,3261514000,836346000,0,901341000,2008-03-21,691637000,341297000,NVDA,4097860000
1768322000,USD,453452000,10-K,2007-01-28,0,2007,1300449000,46350000,-41799000,0,448834000,448834000,2615319000,453452000,0,494480000,2007-03-16,553467000,293530000,NVDA,3068771000
1465654000,USD,350822000,10-K/A,2006-01-29,0,2006,910033000,55612000,-20626000,0,301176000,301176000,2024865000,350822000,0,356788000,2006-11-29,357123000,202088000,NVDA,2375687000
1360547000,USD,113593000,10-K,2005-01-30,0,2005,649486000,25089000,-11258000,0,100356000,100356000,1896440000,113593000,0,125445000,2005-03-22,335104000,200789000,NVDA,2010033000
1294067000,USD,93657000,10-K,2004-01-25,0,2004,528878000,12254000,-6551000,0,74419000,74419000,1729288000,93657000,0,86673000,2004-03-29,269972000,165249000,NVDA,1822945000
1333435000,USD,143986000,10K,2003-01-26,0,2003,576012000,59758000,0,0,90799000,90799000,1765461000,143986000,0,150557000,2003-04-25,224873000,151485000,NVDA,1909447000
850233000,USD,255449000,10K,2002-01-27,0,2002,519238000,75825000,-11708000,0,176924000,176924000,1114022000,255449000,0,252749000,2002-05-14,153920000,97185000,NVDA,1369471000
460098000,USD,130291000,10K,2001-01-28,0,2001,275166000,47027000,-16679000,0,99937000,99937000,604973000,130291000,0,146964000,2001-04-27,86438000,58437000,NVDA,735264000
235575000,USD,54412000,10K,2000-01-30,0,2000,138930000,18068000,0,0,38098000,38098000,320093000,54412000,0,56166000,2000-03-13,47439000,37079000,NVDA,374505000
109746000,USD,4516000,10K,1999-01-31,0,1999,48491000,357000,0,0,4130000,4130000,153721000,4516000,0,4487000,1999-04-29,25073000,18902000,NVDA,158237000
2544000000,USD,2140000000,10-Q,2023-04-30,1,2024,4648000000,166000000,-84000000,0,2043000000,2043000000,5052000000,2140000000,0,2209000000,2023-05-26,1875000000,633000000,NVDA,7192000000
2218000000,USD,1256000000,10-K,2023-01-29,4,2023,3833000000,-126000000,-51000000,0,1414000000,1414000000,4795000000,1256000000,0,1288000000,2023-02-24,1952000000,625000000,NVDA,6051000000
2754000000,USD,601000000,10-Q,2022-10-30,3,2023,3177000000,-67000000,-23000000,0,680000000,680000000,5330000000,601000000,0,613000000,2022-11-18,1945000000,631000000,NVDA,5931000000
3789000000,USD,499000000,10-Q,2022-07-31,2,2023,2915000000,-181000000,19000000,0,656000000,656000000,6205000000,499000000,0,475000000,2022-08-31,1824000000,592000000,NVDA,6704000000
2857000000,USD,3221000000,10-Q,2022-05-01,1,2023,5431000000,187000000,50000000,0,1618000000,1618000000,5067000000,3221000000,0,1805000000,2022-05-27,1618000000,592000000,NVDA,8288000000
2643000000,USD,2970000000,10-K,2022-01-30,4,2022,5000000000,-137000000,51000000,0,3002000000,3002000000,4673000000,2970000000,0,2865000000,2022-03-18,1467000000,563000000,NVDA,7643000000
2472000000,USD,2671000000,10-Q,2021-10-31,3,2022,4631000000,174000000,55000000,0,2464000000,2464000000,4432000000,2671000000,0,2638000000,2021-11-22,1403000000,557000000,NVDA,7103000000
2292000000,USD,2444000000,10-Q,2021-08-01,2,2022,4215000000,20000000,54000000,0,2374000000,2374000000,4063000000,2444000000,0,2394000000,2021-08-20,1245000000,526000000,NVDA,6507000000
2032000000,USD,1956000000,10-Q,2021-05-02,1,2022,3629000000,132000000,47000000,0,1912000000,1912000000,3705000000,1956000000,0,2044000000,2021-05-26,1153000000,520000000,NVDA,5661000000
1846000000,USD,1507000000,10-K,2021-01-31,4,2021,3157000000,14000000,46000000,0,1457000000,1457000000,3496000000,1507000000,0,1471000000,2021-02-26,1145000000,505000000,NVDA,5003000000
