date,fullName,issuerCik,netTransacted,reportedTitle,symbol,totalBought,totalSold
2023-05-08,"Ficus 2018, LLC",0000910606,,,REG,,
2023-05-07,LEAVITT J CHRISTIAN,0000910606,37339,Chief Accounting Officer,REG,163866,-126527
2023-05-06,LEAVITT J CHRISTIAN,0000910606,37339,Chief Accounting Officer,REG,163866,-126527
2023-05-05,LEAVITT J CHRISTIAN,0000910606,37339,Chief Accounting Officer,REG,163866,-126527
2023-05-04,LEAVITT J CHRISTIAN,0000910606,37339,Chief Accounting Officer,REG,163866,-126527
2023-05-03,LEAVITT J CHRISTIAN,0000910606,37339,Chief Accounting Officer,REG,163866,-126527
2023-05-02,LEAVITT J CHRISTIAN,0000910606,37339,Chief Accounting Officer,REG,163866,-126527
2023-05-01,"Ficus 2018, LLC",0000910606,,,REG,,
2023-04-30,Simmons James H. III,0000910606,3817,,REG,3817,
2023-04-29,LEAVITT J CHRISTIAN,0000910606,37339,Chief Accounting Officer,REG,163866,-126527
2023-04-28,PALMER LISA,0000910606,47228,President and CFO,REG,150880,-103652
2023-04-27,LEAVITT J CHRISTIAN,0000910606,37339,Chief Accounting Officer,REG,163866,-126527
2023-04-26,"Ficus 2018, LLC",0000910606,,,REG,,
2023-04-25,LEAVITT J CHRISTIAN,0000910606,37339,Chief Accounting Officer,REG,163866,-126527
2023-04-24,"Ficus 2018, LLC",0000910606,,,REG,,
2023-04-23,"Ficus 2018, LLC",0000910606,,,REG,,
2023-04-22,LEAVITT J CHRISTIAN,0000910606,37339,Chief Accounting Officer,REG,163866,-126527
2023-04-21,LEAVITT J CHRISTIAN,0000910606,37339,Chief Accounting Officer,REG,163866,-126527
2023-04-20,LEAVITT J CHRISTIAN,0000910606,37339,Chief Accounting Officer,REG,163866,-126527
2023-04-19,LEAVITT J CHRISTIAN,0000910606,37339,Chief Accounting Officer,REG,163866,-126527
2023-04-18,LEAVITT J CHRISTIAN,0000910606,37339,Chief Accounting Officer,REG,163866,-126527
2023-04-17,LEAVITT J CHRISTIAN,0000910606,37339,Chief Accounting Officer,REG,163866,-126527
2023-04-16,LEAVITT J CHRISTIAN,0000910606,37339,Chief Accounting Officer,REG,163866,-126527
2023-04-15,LEAVITT J CHRISTIAN,0000910606,37339,Chief Accounting Officer,REG,163866,-126527
2023-04-14,LEAVITT J CHRISTIAN,0000910606,37339,Chief Accounting Officer,REG,163866,-126527
2023-04-13,LEAVITT J CHRISTIAN,0000910606,37339,Chief Accounting Officer,REG,163866,-126527
2023-04-12,"Ficus 2018, LLC",0000910606,,,REG,,
2023-04-11,LEAVITT J CHRISTIAN,0000910606,37339,Chief Accounting Officer,REG,163866,-126527
2023-04-10,MAS MICHAEL J,0000910606,16108,Managing Director,REG,19221,-3113
2023-04-09,PALMER LISA,0000910606,47228,President and CFO,REG,150880,-103652
2023-04-08,LEAVITT J CHRISTIAN,0000910606,37339,Chief Accounting Officer,REG,163866,-126527
2023-04-07,PALMER LISA,0000910606,47228,President and CFO,REG,150880,-103652
2023-04-06,Simmons James H. III,0000910606,3817,,REG,3817,
2023-04-05,"Ficus 2018, LLC",0000910606,,,REG,,
2023-04-04,LEAVITT J CHRISTIAN,0000910606,37339,Chief Accounting Officer,REG,163866,-126527
2023-04-03,LEAVITT J CHRISTIAN,0000910606,37339,Chief Accounting Officer,REG,163866,-126527
2023-04-02,LEAVITT J CHRISTIAN,0000910606,37339,Chief Accounting Officer,REG,163866,-126527
2023-04-01,PALMER LISA,0000910606,47228,President and CFO,REG,150880,-103652
2023-03-31,LEAVITT J CHRISTIAN,0000910606,37339,Chief Accounting Officer,REG,163866,-126527
2023-03-30,LEAVITT J CHRISTIAN,0000910606,37339,Chief Accounting Officer,REG,163866,-126527
