date,fullName,issuerCik,netTransacted,reportedTitle,symbol,totalBought,totalSold
2023-05-11,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-05-10,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-05-09,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-05-08,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-05-07,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-05-06,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-05-05,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-05-04,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-05-03,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-05-02,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-05-01,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-04-30,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-04-29,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-04-28,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-04-14,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-04-13,Clark David H,0001018724,31815,CEO Worldwide Consumer,AMZN,39352,-7537
2023-04-12,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-04-11,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-04-10,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-04-09,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-04-08,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-04-07,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-04-06,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-04-05,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-04-04,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-04-03,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-04-02,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-04-01,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-04-27,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-04-26,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-04-25,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-04-24,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-04-23,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-04-22,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-04-21,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-04-20,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-04-19,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-04-18,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-04-17,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-04-16,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-04-15,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-03-31,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-03-30,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-03-29,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-03-28,SZKUTAK THOMAS J,0001018724,599375,Senior Vice President and CFO,AMZN,1058317,-458942
2023-03-27,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-03-26,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-03-25,SZKUTAK THOMAS J,0001018724,599375,Senior Vice President and CFO,AMZN,1058317,-458942
2023-03-24,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-03-23,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-03-22,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-03-21,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-03-20,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-03-19,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-03-18,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-03-17,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-03-16,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-03-15,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-03-14,PEEK MARK S,0001018724,-3500,Senior Vice President and CAO,AMZN,,-3500
2023-03-13,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-03-12,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-03-11,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-03-10,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-03-09,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-03-08,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-03-07,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-03-06,Jassy Andrew R,0001018724,80211,President and CEO,AMZN,84920,-4709
