adjustedHolding,adjustedMarketValue,entityProperName,reportDate,reportedHolding,reportedMarketValue,symbol
3782953,241692867,VANGUARD INDEX FUNDS,2022-05-31,3782953,241692867,AOS
3295158,210527645,VANGUARD INDEX FUNDS,2022-05-31,3295158,210527645,AOS
2875363,183706942,VANGUARD INDEX FUNDS,2022-05-31,2875363,183706942,AOS
1988122,127021115,VANGUARD INDEX FUNDS,2022-05-31,1988122,127021115,AOS
1933896,132626588,PROSHARES TRUST,2022-04-28,1933896,132626588,AOS
1710838,109305440,IVY FUNDS,2022-05-20,1710838,109305440,AOS
1444919,92315875,SPDR SP 500 ETF TRUST,2022-05-27,1444919,92315875,AOS
1426926,91166302,SPDR SERIES TRUST,2022-05-27,1426926,91166302,AOS
1023920,50868346,CARILLON SERIES TRUST,2019-12-20,1023920,50868346,AOS
985501,62963659,VANGUARD INSTITUTIONAL INDEX FUNDS,2022-05-31,985501,62963659,AOS
898595,57411235,FIRST TRUST EXCHANGE-TRADED FUND,2022-05-26,898595,57411235,AOS
815401,47643880,VANGUARD SPECIALIZED FUNDS,2022-06-29,815401,47643880,AOS
748412,47816043,SPDR SERIES TRUST,2022-05-27,748412,47816043,AOS
728141,31084339,AB LARGE CAP GROWTH FUND INC,2020-03-09,728141,31084339,AOS
704508,45011016,SELECT SECTOR SPDR TRUST,2022-05-27,704508,45011016,AOS
669779,42792180,FIRST TRUST EXCHANGE-TRADED FUND,2022-05-26,669779,42792180,AOS
589055,34418484,OLD WESTBURY FUNDS INC,2022-06-29,589055,34418484,AOS
541246,20464511,BAIRD FUNDS INC,2020-05-27,541246,20464511,AOS
443042,30016096,LORD ABBETT SECURITIES TRUST,2021-06-28,443042,30016096,AOS
439052,25653808,iSHARES TRUST,2022-06-27,439052,25653808,AOS
322054,21774071,LORD ABBETT MID CAP STOCK FUND INC,2021-05-26,322054,21774071,AOS
317628,21782928,SCHWAB STRATEGIC TRUST,2022-04-25,317628,21782928,AOS
317329,18541533,FIDELITY SALEM STREET TRUST,2022-06-24,317329,18541533,AOS
303142,17712587,DFA INVESTMENT DIMENSIONS GROUP INC,2022-06-28,303142,17712587,AOS
286334,18293879,VANGUARD QUANTITATIVE FUNDS,2022-05-31,286334,18293879,AOS
259182,15144004,SCHWAB CAPITAL TRUST,2022-06-24,259182,15144004,AOS
256706,14999332,FIDELITY SALEM STREET TRUST,2022-06-24,256706,14999332,AOS
238791,15256357,PACIFIC SELECT FUND,2022-05-27,238791,15256357,AOS
237434,13873269,SCHWAB CAPITAL TRUST,2022-06-24,237434,13873269,AOS
213844,12494905,OLD WESTBURY FUNDS INC,2022-06-29,213844,12494905,AOS
212406,12410883,DFA INVESTMENT DIMENSIONS GROUP INC,2022-06-28,212406,12410883,AOS
206178,14139687,Fidelity Rutland Square Trust II,2022-04-27,206178,14139687,AOS
202336,11092060,EATON VANCE SPECIAL INVESTMENT TRUST,2021-02-16,202336,11092060,AOS
197850,12640637,"NICHOLAS II, INC",2022-05-27,197850,12640637,AOS
197826,11558973,"PRINCIPAL FUNDS, INC.",2022-06-24,197826,11558973,AOS
180000,10135800,FIDELITY PURITAN TRUST,2021-01-20,180000,10135800,AOS
169998,11658463,AIM COUNSELOR SERIES TRUST (INVESCO COUNSELOR SERIES TRUST),2022-04-29,169998,11658463,AOS
165069,11320432,VANGUARD WORLD FUND,2022-04-29,165069,11320432,AOS
