address1,city,state,zip,country,phone,website,industry,industryDisp,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio,Open,High,Low,Close,Volume,Dividends,Stock Splits,fax,address2,industrySymbol,Adj Close
One Apple Park Way,Cupertino,CA,95014,United States,408 996 1010,https://www.apple.com,Consumer Electronics,Consumer Electronics,Technology,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, and HomePod. It also provides AppleCare support and cloud services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. In addition, the company offers various services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was incorporated in 1977 and is headquartered in Cupertino, California.",164000.0,"[{'maxAge': 1, 'name': 'Mr. Timothy D. Cook', 'age': 61, 'title': 'CEO & Director', 'yearBorn': 1961, 'fiscalYear': 2022, 'totalPay': 16425933, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Luca  Maestri', 'age': 59, 'title': 'CFO & Sr. VP', 'yearBorn': 1963, 'fiscalYear': 2022, 'totalPay': 5019783, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Jeffrey E. Williams', 'age': 58, 'title': 'Chief Operating Officer', 'yearBorn': 1964, 'fiscalYear': 2022, 'totalPay': 5018337, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Katherine L. Adams', 'age': 58, 'title': 'Sr. VP, Gen. Counsel & Sec.', 'yearBorn': 1964, 'fiscalYear': 2022, 'totalPay': 5015208, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': ""Ms. Deirdre  O'Brien"", 'age': 55, 'title': 'Sr. VP of Retail', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 5019783, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Chris  Kondo', 'title': 'Sr. Director of Corp. Accounting', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. James  Wilson', 'title': 'Chief Technology Officer', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Mary  Demby', 'title': 'Chief Information Officer', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Nancy  Paxton', 'title': 'Sr. Director of Investor Relations & Treasury', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Greg  Joswiak', 'title': 'Sr. VP of Worldwide Marketing', 'exercisedValue': 0, 'unexercisedValue': 0}]",4.0,1.0,5.0,1.0,1.0,1685577600.0,1672444800.0,86400.0,2.0,185.01,184.9,182.5901,185.41,185.01,184.9,182.5901,185.41,0.96,0.0052,1683849600.0,0.1559,0.9,1.289436,31.17966,28.042685,49421212.0,49421212.0,57272717.0,59364240.0,59364240.0,0.0,0.0,1200.0,1200.0,2893451886592.0,124.17,186.99,7.513605,173.229,153.45184,0.92,0.004972704,USD,2962294571008.0,0.24493,15712029576.0,15728700416.0,117654782.0,124657645.0,1682640000.0,1685491200.0,0.0075,0.00071000005,0.61232,2.03,0.0075,15728700416.0,3.953,46.536808,1663977600.0,1695513600.0,1680307200.0,-0.034,94321000448.0,5.9,6.56,3.89,4:1,1598832000.0,7.692,23.93,0.3304404,0.15015817,0.24,1683849600.0,NMS,EQUITY,AAPL,AAPL,Apple Inc.,Apple Inc.,345479400.0,America/New_York,EDT,8b10e4ae-9eeb-3684-921a-9ab27e4d87aa,finmb_24937,-14400000.0,183.96,220.0,140.0,186.4,188.0,2.0,buy,38.0,55872000000.0,3.552,123788001280.0,109614997504.0,0.764,0.94,385095008256.0,176.349,24.116,0.20559,1.4560499,170782000000.0,83796623360.0,109583998976.0,0.0,-0.025,0.43181,0.32145,0.29163,USD,2.5382,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.89999389648438,185.41000366210938,182.58999633789062,183.9600067138672,49477400.0,0.0,0.0,,,,
1600 Amphitheatre Parkway,Mountain View,CA,94043,United States,650 253 0000,https://www.abc.xyz,Internet Content & Information,Internet Content & Information,Communication Services,"Alphabet Inc. offers various products and platforms in the United States, Europe, the Middle East, Africa, the Asia-Pacific, Canada, and Latin America. It operates through Google Services, Google Cloud, and Other Bets segments. The Google Services segment provides products and services, including ads, Android, Chrome, hardware, Gmail, Google Drive, Google Maps, Google Photos, Google Play, Search, and YouTube. It is also involved in the sale of apps and in-app purchases and digital content in the Google Play store; and Fitbit wearable devices, Google Nest home products, Pixel phones, and other devices, as well as in the provision of YouTube non-advertising services. The Google Cloud segment offers infrastructure, cybersecurity, data, analytics, AI, and machine learning, and other services; Google Workspace that include cloud-based collaboration tools for enterprises, such as Gmail, Docs, Drive, Calendar, and Meet; and other services for enterprise customers. The Other Bets segment sells health technology and internet services. The company was founded in 1998 and is headquartered in Mountain View, California.",190711.0,"[{'maxAge': 1, 'name': 'Mr. Sundar  Pichai', 'age': 49, 'title': 'CEO & Director', 'yearBorn': 1973, 'fiscalYear': 2022, 'totalPay': 7947461, 'exercisedValue': 39618220, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Lawrence Edward Page', 'age': 49, 'title': 'Co-Founder & Director', 'yearBorn': 1973, 'fiscalYear': 2022, 'totalPay': 1, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Sergey  Brin', 'age': 48, 'title': 'Co-Founder & Director', 'yearBorn': 1974, 'fiscalYear': 2022, 'totalPay': 1, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Ruth M. Porat', 'age': 64, 'title': 'Sr. VP & CFO', 'yearBorn': 1958, 'fiscalYear': 2022, 'totalPay': 1790046, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. J. Kent Walker', 'age': 61, 'title': 'Pres of Global Affairs, Chief Legal Officer & Company Sec.', 'yearBorn': 1961, 'fiscalYear': 2022, 'totalPay': 1787541, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Dr. Prabhakar  Raghavan', 'age': 61, 'title': 'Sr. VP of Knowledge and Information - Google', 'yearBorn': 1961, 'fiscalYear': 2022, 'totalPay': 1785329, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Philipp  Schindler', 'age': 51, 'title': 'Sr. VP & Chief Bus. Officer of Google', 'yearBorn': 1971, 'fiscalYear': 2022, 'totalPay': 1785814, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': ""Ms. Amie Thuener O'Toole"", 'age': 47, 'title': 'Chief Accounting Officer & VP', 'yearBorn': 1975, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Ellen  West', 'title': 'VP of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Fiona Clare Cicconi', 'age': 56, 'title': 'Chief People Officer', 'yearBorn': 1966, 'exercisedValue': 0, 'unexercisedValue': 0}]",8.0,2.0,10.0,10.0,10.0,1685577600.0,1672444800.0,86400.0,2.0,123.1,122.4,120.1,122.66,123.1,122.4,120.1,122.66,,,,0.0,,1.091901,27.08989,19.13492,30087668.0,30087668.0,33845790.0,32400860.0,32400860.0,0.0,0.0,900.0,1100.0,1533661151232.0,83.34,129.04,5.388603,115.3364,101.45345,0.0,0.0,USD,1482851352576.0,0.20584999,10959288580.0,5941000192.0,51272391.0,47245258.0,1682640000.0,1685491200.0,0.004,0.00281,0.79134005,1.37,0.0086,0.0,20.507,5.878481,1672444800.0,1703980800.0,1680220800.0,-0.084,58587000832.0,4.45,6.3,1.31,20:1,1658102400.0,5.21,16.948,0.0740186,0.15015817,,,NMS,EQUITY,GOOGL,GOOGL,Alphabet Inc.,Alphabet Inc.,1092922200.0,America/New_York,EDT,e15ce71f-f533-3912-9f11-a46c09e2412b,finmb_29096,-14400000.0,120.55,190.31,115.0,132.03,130.0,1.8,buy,43.0,115101999104.0,9.065,87495999488.0,29493000192.0,2.195,2.353,284612001792.0,11.305,21.965,0.12415,0.22757,156633000000.0,55862624256.0,89898000384.0,-0.047,0.026,0.55302,0.30742002,0.25355,USD,1.526,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.4000015258789,122.66000366210938,120.0999984741211,120.55000305175781,30283100.0,0.0,0.0,,,,
One Microsoft Way,Redmond,WA,98052-6399,United States,425 882 8080,https://www.microsoft.com,Software—Infrastructure,Software—Infrastructure,Technology,"Microsoft Corporation develops, licenses, and supports software, services, devices, and solutions worldwide. The company operates in three segments: Productivity and Business Processes, Intelligent Cloud, and More Personal Computing. The Productivity and Business Processes segment offers Office, Exchange, SharePoint, Microsoft Teams, Office 365 Security and Compliance, Microsoft Viva, and Skype for Business; Skype, Outlook.com, OneDrive, and LinkedIn; and Dynamics 365, a set of cloud-based and on-premises business solutions for organizations and enterprise divisions. The Intelligent Cloud segment licenses SQL, Windows Servers, Visual Studio, System Center, and related Client Access Licenses; GitHub that provides a collaboration platform and code hosting service for developers; Nuance provides healthcare and enterprise AI solutions; and Azure, a cloud platform. It also offers enterprise support, Microsoft consulting, and nuance professional services to assist customers in developing, deploying, and managing Microsoft server and desktop solutions; and training and certification on Microsoft products. The More Personal Computing segment provides Windows original equipment manufacturer (OEM) licensing and other non-volume licensing of the Windows operating system; Windows Commercial, such as volume licensing of the Windows operating system, Windows cloud services, and other Windows commercial offerings; patent licensing; and Windows Internet of Things. It also offers Surface, PC accessories, PCs, tablets, gaming and entertainment consoles, and other devices; Gaming, including Xbox hardware, and Xbox content and services; video games and third-party video game royalties; and Search, including Bing and Microsoft advertising. The company sells its products through OEMs, distributors, and resellers; and directly through digital marketplaces, online stores, and retail stores. Microsoft Corporation was founded in 1975 and is headquartered in Redmond, Washington.",221000.0,"[{'maxAge': 1, 'name': 'Mr. Satya  Nadella', 'age': 55, 'title': 'Chairman & CEO', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 12676750, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Bradford L. Smith LCA', 'age': 63, 'title': 'Pres & Vice Chairman', 'yearBorn': 1959, 'fiscalYear': 2022, 'totalPay': 4655274, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Amy E. Hood', 'age': 50, 'title': 'Exec. VP & CFO', 'yearBorn': 1972, 'fiscalYear': 2022, 'totalPay': 4637915, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Judson  Althoff', 'age': 49, 'title': 'Exec. VP & Chief Commercial Officer', 'yearBorn': 1973, 'fiscalYear': 2022, 'totalPay': 4428268, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Christopher David Young', 'age': 50, 'title': 'Exec. VP of Bus. Devel., Strategy & Ventures', 'yearBorn': 1972, 'fiscalYear': 2022, 'totalPay': 4588876, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Alice L. Jolla', 'age': 55, 'title': 'Corp. VP & Chief Accounting Officer', 'yearBorn': 1967, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. James Kevin Scott', 'age': 50, 'title': 'Exec. VP of AI & CTO', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Brett  Iversen', 'title': 'Gen. Mang. of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Frank X. Shaw', 'title': 'Corp. VP for Corp. Communications', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Christopher C. Capossela', 'age': 52, 'title': 'Exec. VP & Chief Marketing Officer', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}]",6.0,3.0,3.0,2.0,2.0,1685577600.0,1672444800.0,86400.0,2.0,338.05,336.37,332.07,337.73,338.05,336.37,332.07,337.73,2.72,0.008,1692144000.0,0.28170002,1.09,0.927464,36.13868,30.462101,24891555.0,24891555.0,28059312.0,29662380.0,29662380.0,0.0,0.0,1200.0,1000.0,2480181870592.0,213.43,351.47,11.947444,312.8444,264.78754,2.66,0.007868659,USD,2488459591680.0,0.33248,7428795636.0,7435489792.0,46395809.0,44308393.0,1682640000.0,1685491200.0,0.0062,0.00052,0.73767,1.7,0.0062,0.0,26.178,12.741998,1656547200.0,1688083200.0,1680220800.0,0.094,69020000256.0,9.23,10.95,2.93,2:1,1045526400.0,11.987,24.865,0.28857303,0.15015817,0.68,1684281600.0,NMS,EQUITY,MSFT,MSFT,Microsoft Corporation,Microsoft Corporation,511108200.0,America/New_York,EDT,b004b3ec-de24-385e-b2c1-923f10d3fb62,finmb_21835,-14400000.0,333.56,400.0,232.0,341.63,340.0,1.8,buy,43.0,104419000320.0,14.043,100080001024.0,79312003072.0,1.655,1.913,207590998016.0,40.739,27.844,0.14829001,0.38601002,135620000000.0,42964873216.0,83441000448.0,0.104,0.071,0.68522,0.48209998,0.41415,USD,2.4841,,,,,,,,425 706 7329,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.3699951171875,337.7300109863281,332.07000732421875,333.55999755859375,25090600.0,0.0,0.0,,,,
410 Terry Avenue North,Seattle,WA,98109-5210,United States,206 266 1000,https://www.aboutamazon.com,Internet Retail,Internet Retail,Consumer Cyclical,"Amazon.com, Inc. engages in the retail sale of consumer products and subscriptions through online and physical stores in North America and internationally. It operates through three segments: North America, International, and Amazon Web Services (AWS). The company's products offered through its stores include merchandise and content purchased for resale; and products offered by third-party sellers. It also manufactures and sells electronic devices, including Kindle, Fire tablets, Fire TVs, Rings, Blink, eero, and Echo; and develops and produces media content. In addition, the company offers programs that enable sellers to sell their products in its stores; and programs that allow authors, musicians, filmmakers, Twitch streamers, skill and app developers, and others to publish and sell content. Further, it provides compute, storage, database, analytics, machine learning, and other services, as well as fulfillment, advertising, and digital content subscriptions. Additionally, the company offers Amazon Prime, a membership program. It serves consumers, sellers, developers, enterprises, content creators, and advertisers. The company was incorporated in 1994 and is headquartered in Seattle, Washington.",1541000.0,"[{'maxAge': 1, 'name': 'Mr. Jeffrey P. Bezos', 'age': 58, 'title': 'Founder & Exec. Chairman', 'yearBorn': 1964, 'fiscalYear': 2022, 'totalPay': 1681840, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Andrew R. Jassy', 'age': 54, 'title': 'Pres, CEO & Director', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 1298723, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Brian T. Olsavsky', 'age': 58, 'title': 'Sr. VP & CFO', 'yearBorn': 1964, 'fiscalYear': 2022, 'totalPay': 319850, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. David A. Zapolsky', 'age': 58, 'title': 'Sr. VP of Global Public Policy & Gen. Counsel', 'yearBorn': 1964, 'fiscalYear': 2022, 'totalPay': 319850, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Douglas J. Herrington', 'age': 55, 'title': 'Chief Exec. Officer of Worldwide Amazon Stores', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 335438, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Adam N. Selipsky', 'age': 55, 'title': 'Chief Exec. Officer of Amazon Web Services, Inc.', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 360613, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Shelley L. Reynolds', 'age': 57, 'title': 'VP, Worldwide Controller & Principal Accounting Officer', 'yearBorn': 1965, 'fiscalYear': 2009, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Dr. Werner  Vogels', 'title': 'Chief Technology Officer', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Dave  Fildes', 'title': 'Director of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Anuradha  Aggarwal', 'title': 'CMO & Director of User Growth', 'exercisedValue': 0, 'unexercisedValue': 0}]",4.0,10.0,10.0,2.0,10.0,1685577600.0,1672444800.0,86400.0,2.0,125.78,125.64,123.85,126.73,125.78,125.64,123.85,126.73,,,,0.0,,1.257042,304.4634,48.383724,50371243.0,50371243.0,61977483.0,61713030.0,61713030.0,0.0,0.0,1100.0,900.0,1280805830656.0,81.43,146.57,2.440109,113.3034,104.24955,0.0,0.0,USD,1401713721344.0,0.00818,8985402139.0,10260400128.0,74822746.0,61476248.0,1682640000.0,1685491200.0,0.0073,0.09733,0.60428,1.15,0.0097,0.0,15.064,8.286644,1672444800.0,1703980800.0,1680220800.0,,4294000128.0,0.41,2.58,1.1,20:1,1654473600.0,2.67,24.508,0.11019206,0.15015817,,,NMS,EQUITY,AMZN,AMZN,"Amazon.com, Inc.","Amazon.com, Inc.",863703000.0,America/New_York,EDT,261fd26b-0151-3813-b0d0-97e4ed4c6505,finmb_18749,-14400000.0,124.83,165.0,90.0,136.45,135.0,1.8,buy,44.0,64405000192.0,6.277,57194000384.0,178546999296.0,0.689,0.923,524896993280.0,115.545,51.416,0.01906,0.029760001,225152000000.0,9030625280.0,54329999360.0,,0.094,0.44728002,0.10896,0.02542,USD,4.4666,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.63999938964844,126.7300033569336,123.8499984741211,124.83000183105469,52075700.0,0.0,0.0,,,,
1 Tesla Road,Austin,TX,78725,United States,512 516 8177,https://www.tesla.com,Auto Manufacturers,Auto Manufacturers,Consumer Cyclical,"Tesla, Inc. designs, develops, manufactures, leases, and sells electric vehicles, and energy generation and storage systems in the United States, China, and internationally. It operates in two segments, Automotive, and Energy Generation and Storage. The Automotive segment offers electric vehicles, as well as sells automotive regulatory credits; and non-warranty after-sales vehicle, used vehicles, retail merchandise, and vehicle insurance services. This segment also provides sedans and sport utility vehicles through direct and used vehicle sales, a network of Tesla Superchargers, and in-app upgrades; purchase financing and leasing services; services for electric vehicles through its company-owned service locations and Tesla mobile service technicians; and vehicle limited warranties and extended service plans. The Energy Generation and Storage segment engages in the design, manufacture, installation, sale, and leasing of solar energy generation and energy storage products, and related services to residential, commercial, and industrial customers and utilities through its website, stores, and galleries, as well as through a network of channel partners; and provision of service and repairs to its energy product customers, including under warranty, as well as various financing options to its solar customers. The company was formerly known as Tesla Motors, Inc. and changed its name to Tesla, Inc. in February 2017. Tesla, Inc. was incorporated in 2003 and is headquartered in Austin, Texas.",127855.0,"[{'maxAge': 1, 'name': 'Mr. Elon R. Musk', 'age': 50, 'title': 'Technoking of Tesla, CEO & Director', 'yearBorn': 1972, 'fiscalYear': 2022, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 27819718656}, {'maxAge': 1, 'name': 'Mr. Zachary John Planell Kirkhorn', 'age': 36, 'title': 'Master of Coin & CFO', 'yearBorn': 1986, 'fiscalYear': 2022, 'totalPay': 303000, 'exercisedValue': 1258505, 'unexercisedValue': 205700880}, {'maxAge': 1, 'name': 'Mr. Andrew D. Baglino', 'age': 41, 'title': 'Sr. VP of Powertrain & Energy Engineering', 'yearBorn': 1981, 'fiscalYear': 2022, 'totalPay': 303000, 'exercisedValue': 33866368, 'unexercisedValue': 57355632}, {'maxAge': 1, 'name': 'Mr. Vaibhav  Taneja', 'age': 44, 'title': 'Corp. Controller & Chief Accounting Officer', 'yearBorn': 1978, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Martin  Viecha', 'title': 'Sr. Director for Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Alan  Prescott', 'age': 43, 'title': 'VP of Legal', 'yearBorn': 1979, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Dave  Arnold', 'title': 'Sr. Director of Global Communications', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Brian  Scelfo', 'title': 'Sr. Director of Corp. Devel.', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Jeffrey B. Straubel', 'age': 46, 'title': 'Independent Director', 'yearBorn': 1976, 'fiscalYear': 2018, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Franz  von Holzhausen', 'title': 'Chief Designer', 'exercisedValue': 0, 'unexercisedValue': 0}]",8.0,10.0,8.0,9.0,9.0,1685577600.0,1672444800.0,86400.0,2.0,274.45,275.13,257.78,276.98,274.45,275.13,257.78,276.98,,,,0.0,,2.004225,74.77233,53.496906,209229811.0,209229811.0,135793477.0,173766410.0,173766410.0,0.0,0.0,1000.0,800.0,822358441984.0,101.81,314.66666,9.558417,193.3442,195.70085,0.0,0.0,USD,810135650304.0,0.13658,2709292276.0,3169499904.0,91194312.0,95005307.0,1682640000.0,1685491200.0,0.028800001,0.1306,0.44891,0.75,0.033099998,0.0,15.164,17.110262,1672444800.0,1703980800.0,1680220800.0,-0.243,11788000256.0,3.47,4.85,7.06,3:1,1661385600.0,9.416,48.61,0.10375631,0.15015817,,,NMS,EQUITY,TSLA,TSLA,"Tesla, Inc.","Tesla, Inc.",1277818200.0,America/New_York,EDT,ec367bc4-f92c-397c-ac81-bf7b43cffaf7,finmb_27444752,-14400000.0,259.46,335.0,24.33,194.84,200.0,2.5,buy,35.0,22402000896.0,7.068,16666000384.0,5574000128.0,0.932,1.567,86034997248.0,11.321,27.35,0.10428,0.27991,20853000000.0,2448250112.0,13242000384.0,-0.232,0.244,0.23135,0.19371,0.14823,USD,3.0344,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.1300048828125,276.989990234375,257.7799987792969,259.4599914550781,210937500.0,0.0,0.0,,,,
